Area me,POP ESTIMATE 2018,Housing units,Area in sq mi Land,Density per square mile of land area - Population,Density per square mile of land area - Housing units,Total Male,Total Female,Total age 0 to 17,Male age 0 to 17,Female age 0 to 17,Total age 18 to 64,Male age 18 to 64,Female age 18 to 64,Total age 65plus,Male age 5plus,Female age 65plus,Total age 85plus,Male age 85plus,Female age 85plus,Total Households,Total Households Family,Total Households Family w biological minors,Total Households Family Married couple,Total Households Family Married Couple Biological minor,Total Households Family Male Householder no wife present,Household BY TYPE,Total Households Family Female Householder no husband present,Total Households Family Female Householder no husband biological minor,Total Household NonFam Household,Total Household NonFam Household Householder alone,Total Household NonFam Household Householder alone 65plus,Total Household Household w multiple minors,Total Household Household w multi 65plus,Total Pop in Household,Pop in Household Number of Householders living in household,Pop in Household Number of Spouses,Pop in Household Number of Children,Pop in Household Number of Other relatives,Pop in Household Number of Nonrelatives,Pop in Household Number of Nonrelatives or Unmarried partner,Males 15plus,Males 15plus never married,Males 15plus Now married except separated,Males 15plus Separated,Males 15plus Widowed,Males 15plus Divorced,Females 15plus,Females 15plus Never married,Females 15plus Now married except separated,Females 15plus Separated,Females 15plus Widowed,Females 15plus Divorced,WA MALE,WA FEMALE,BA MALE,BA FEMALE,IA MALE,IA FEMALE,AA MALE,AA FEMALE,NA MALE,NA FEMALE,TOM MALE,TOM FEMALE,WAC MALE,WAC FEMALE,BAC MALE,BAC FEMALE,IAC MALE,IAC FEMALE,AAC MALE,AAC FEMALE,C MALE,C FEMALE,NH MALE,NH FEMALE,NHWA MALE,NHWA FEMALE,NHBA MALE,NHBA FEMALE,NHIA MALE,NHIA FEMALE,NHAA MALE,NHAA FEMALE,NH MALE,NH FEMALE,NHTOM MALE,NHTOM FEMALE,NHWAC MALE,NHWAC FEMALE,NHBAC MALE,NHBAC FEMALE,NHIAC MALE,NHIAC FEMALE,NHAAC MALE,NHAAC FEMALE,NHC MALE,NHC FEMALE,H MALE,H FEMALE,HWA MALE,HWA FEMALE,HBA MALE,HBA FEMALE,HIA MALE,HIA FEMALE,HAA MALE,HAA FEMALE,H MALE,H FEMALE,HTOM MALE,HTOM FEMALE,HWAC MALE,HWAC FEMALE,HBAC MALE,HBAC FEMALE,HIAC MALE,HIAC FEMALE,HAAC MALE,HAAC FEMALE,HC MALE,HC FEMALE,Age restricted housing,Liscensed Adult Daycare Facilities,Liscensed Adult Daycare Beds,Total Lisenced Nursing Home Facilities,Total Nursing Home Beds,Tobacco Permits,Alcohol Liscenses,Liscensed Barbers,Lisensed Cosmetologists,Total Prisons,Religious adherents 2010,Congregations 2010,Congregations Per 10K People
District 20,378488,197298,1998,161,99,186769,191719,64794,33275,31519,191759,95722,96037,121935,57772,64163,17249,8200,9049,144172,97654,27833,80401,17270,5273,2774,11980,7789,46518,40226,24323,30927,76651,374577,144172,80181,90775,33716,25733,8519,159063,43214,91234,3097,5231,16287,166518,32725,88059,1710,19641,24383,166839,171120,14127,13925,938,872,2568,3314,192,176,2105,2312,168560,173014,15246,15156,1450,1445,3280,4118,494,511,131438,140307,114328,122363,12732,12600,367,351,2337,3150,60,63,1614,1780,115613,123780,13556,13518,740,760,2925,3824,320,347,55331,51412,52511,48757,1395,1325,571,521,231,164,132,113,491,532,52947,49234,1690,1638,710,685,355,294,174,164,68,1,65,18,2065,443,1178,399,5816,3,111034,210,7
District 21,809890,392642,2743,295,143,399254,410636,145667,74770,70897,438873,216879,221994,225350,107605,117745,27162,12079,15083,281222,180020,53146,142424,36221,11853,4616,25743,12309,101202,82873,45200,58517,133342,744456,281222,142105,197027,72954,51148,19172,313900,96769,158844,4755,13214,40318,331682,81570,158266,5161,38817,47868,345827,354696,36998,38421,2937,2412,6033,7741,517,431,6942,6935,352106,360913,40944,42371,4618,4174,7911,9647,988,881,301277,317912,256226,269559,32932,34353,1378,1329,5627,7417,135,197,4979,5057,260669,274015,35645,37118,2538,2573,7161,8987,486,545,97977,92724,89601,85137,4066,4068,1559,1083,406,324,382,234,1963,1878,91437,86898,5299,5253,2080,1601,750,660,502,336,220,14,722,20,2438,442,828,459,4919,8,247470,502,32
District 22,184998,100632,680,235,148,90256,94742,22067,11433,10634,88537,43107,45430,74394,35716,38678,9602,4320,5282,74975,47734,8414,40027,5089,2625,841,5082,2484,27241,22697,15924,10355,45714,181398,74975,39901,37514,14130,14878,4275,80606,20362,44189,799,4889,10367,86203,13563,44423,2627,13370,12220,81379,85954,5908,5192,331,411,1036,1589,64,49,1538,1547,82772,87370,6703,5959,808,903,1439,2016,155,154,83461,87825,75433,79894,5444,4736,223,279,1010,1554,44,42,1307,1320,76617,81113,6094,5371,622,692,1378,1947,122,126,6795,6917,5946,6060,464,456,108,132,26,35,20,7,231,227,6155,6257,609,588,186,211,61,69,33,28,61,3,152,8,1080,207,421,205,2432,2,64078,111,7
District 23,440491,175762,1814,243,97,214643,225848,89924,45981,43943,247455,120183,127272,103112,48479,54633,11128,4575,6553,159310,110649,37040,89647,27664,6652,3285,14350,6091,48661,39877,21544,41743,67872,436220,159310,89555,129212,31126,27017,8622,176634,47458,96820,2111,6808,23437,190293,44641,97865,1858,17956,27973,185163,194252,18495,19768,968,816,5290,6232,224,197,4503,4583,189328,198464,20582,21855,2131,2007,6843,7861,478,477,195770,207014,168527,177531,17457,18740,659,583,5121,6043,156,153,3850,3964,172087,181170,19172,20468,1627,1591,6539,7540,367,399,18873,18834,16636,16721,1038,1028,309,233,169,189,68,44,653,619,17241,17294,1410,1387,504,416,304,321,111,78,12,3,91,13,1327,860,1647,838,7925,7,129776,362,35
District 24,467832,181307,309,1367,586,226010,241822,98309,49761,48548,296990,145046,151944,72533,31203,41330,9435,3373,6062,179274,121209,50622,92048,35719,8212,3996,20949,10907,58065,46177,16020,55504,49842,463418,179274,91772,131067,30037,31268,10626,184936,62917,97091,2394,3765,18769,202554,55977,99867,4474,17731,24505,179102,190196,28594,31864,1003,1046,10928,11869,274,294,6109,6553,184623,196119,32029,35585,2383,2524,13215,14297,560,600,176375,188622,135526,143200,25058,28235,476,545,10581,11551,135,160,4599,4931,139605,147570,27527,30900,1420,1574,12488,13585,351,387,49635,53200,43576,46996,3536,3629,527,501,347,318,139,134,1510,1622,45018,48549,4502,4685,963,950,727,712,209,213,10,4,228,15,1781,454,909,584,6566,1,79604,213,8
District 25,367990,128170,1327,202,97,181463,186527,89835,46107,43728,229550,113764,115786,48605,21592,27013,4736,1800,2936,102705,72198,30942,51238,20252,6355,2587,14605,8103,30507,24338,7267,35116,29796,366335,102705,50800,137127,49418,26285,7487,143338,62931,61687,2685,3064,12971,150529,54104,58423,4537,9768,23697,144104,147995,25440,25539,1547,1452,4953,5714,441,505,4978,5322,148475,152672,28810,29209,2694,2713,6183,7007,755,814,80967,83578,55907,57356,17487,17693,372,357,4534,5247,171,278,2496,2647,57980,59540,19057,19381,870,922,5342,6081,372,486,100496,102949,88197,90639,7953,7846,1175,1095,419,467,270,227,2482,2675,90495,93132,9753,9828,1824,1791,841,926,383,328,23,3,170,8,949,395,741,873,4977,4,98652,206,8
Alachua ,269956,112766,875.02,282.7,128.9,130428,139528,48541,24588,23953,183579,89172,94407,37836,16668,21168,4599,1659,2940,97782,49488,19029,37146,12759,3188,1498,9154,4772,48294,38342,10191,21155,24872,255105,97782,37251,71845,18779,29448,4718,110281,58211,41274,1000,1945,7851,118472,55609,42671,1309,6680,12203,91961,96623,25701,29874,486,485,8305,8595,121,94,3854,3857,95462,100086,27796,32004,1147,1136,9887,10173,285,292,116993,125222,80205,83955,24813,29069,317,353,8193,8407,82,71,3383,3367,83280,86979,26580,30848,855,883,9683,9892,217,231,13435,14306,11756,12668,888,805,169,132,112,188,39,23,471,490,12182,13107,1216,1156,292,253,204,281,68,61,2,1,35,7,869,307,643,290,2980,6,102841,302,12
Baker ,28355,9687,585.23,46.3,16.6,14917,13438,6715,3410,3305,17625,9666,7959,4015,1841,2174,372,141,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11955,11578,2556,1416,62,63,91,110,5,4,248,267,12177,11823,2678,1548,175,176,123,143,17,16,14492,13107,11602,11305,2524,1393,50,52,85,107,3,2,228,248,11808,11533,2635,1512,152,161,113,137,14,13,425,331,353,273,32,23,12,11,6,3,2,2,20,19,369,290,43,36,23,15,10,6,3,3,0,0,,2,188,41,54,24,325,4,6865,36,13
Bay ,185287,99650,758.46,222.6,131.4,91929,93358,39761,20152,19609,113848,57278,56570,31678,14499,17179,3803,1572,2231,73856,49233,19206,35562,12564,3914,1220,9757,5422,24623,20726,8137,20917,22341,183074,73856,35634,51444,13408,8732,3437,74951,23736,37497,1518,2709,9491,76870,17168,36986,1690,9664,11362,75468,75916,10768,10873,778,757,1746,2477,148,150,3021,3185,78207,78798,12131,12304,1638,1702,2882,3658,319,338,85532,87329,70127,70944,10309,10470,586,579,1693,2414,107,105,2710,2817,72583,73497,11498,11710,1336,1384,2759,3516,260,269,6397,6029,5341,4972,459,403,192,178,53,63,41,45,311,368,5624,5301,633,594,302,318,123,142,59,69,1,0,,9,1029,316,622,181,2594,4,69639,205,12
Bradford ,27732,11011,293.96,97,37.5,15318,12414,5436,2783,2653,17361,10359,7002,4935,2176,2759,611,206,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11219,10063,3664,1897,57,81,76,91,8,7,294,275,11481,10308,3829,2059,154,165,134,136,23,27,14517,12031,10546,9761,3594,1867,44,59,71,91,6,3,256,250,10777,9983,3732,2013,130,138,122,131,19,22,801,383,673,302,70,30,13,22,5,0,2,4,38,25,704,325,97,46,24,27,12,5,4,5,0,0,,2,240,43,59,20,268,5,13176,55,19
Brevard ,596849,269864,1015.66,535,265.7,291903,304946,108913,55942,52971,346591,171221,175370,141345,64740,76605,18607,7464,11143,226363,140955,40162,108673,27327,9197,3358,23085,9477,85408,72592,35729,46196,94801,589830,226363,109144,168917,48328,37078,12280,244712,83878,116686,5223,9456,29469,262303,67148,119316,4142,30753,40944,244335,252508,30591,33425,1371,1387,6988,8771,405,393,8213,8462,251812,260168,34890,37862,3309,3438,10007,11878,884,903,260578,272310,217551,224536,28363,31095,943,939,6722,8490,211,222,6788,7028,223691,230868,31790,34671,2463,2575,9402,11260,609,637,31325,32636,26784,27972,2228,2330,428,448,266,281,194,171,1425,1434,28121,29300,3100,3191,846,863,605,618,275,266,67,8,491,17,2317,771,1502,791,8383,5,189430,414,8
Broward ,1951260,810388,1209.79,1444.9,669.9,950568,1000692,412789,209292,203497,1214158,598453,615705,324313,142823,181490,46114,16928,29186,694980,439980,169424,299258,107904,38400,14425,102322,47095,255000,209779,81792,191695,220200,1933847,694980,299026,604660,214718,120463,45128,777360,302419,352934,15797,20404,85806,831898,266862,339239,23433,70847,131517,612588,621007,275540,311642,4085,3825,35758,40093,1175,1213,21422,22912,628985,638284,290323,327587,7708,7776,43976,49020,3376,3578,661966,695561,350588,344119,259255,293834,1854,1928,34415,38493,581,662,15273,16525,361525,355741,269488,305020,4161,4542,41000,45750,2415,2666,288602,305131,262000,276888,16285,17808,2231,1897,1343,1600,594,551,6149,6387,267460,282543,20835,22567,3547,3234,2976,3270,961,912,849,26,1538,47,5831,2463,4511,3386,35361,10,641572,1040,6
Calhoun ,14587,5999,567.33,25.8,10.6,7962,6625,2924,1487,1437,9032,5250,3782,2631,1225,1406,310,118,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6308,5676,1310,617,96,98,57,60,15,5,176,169,6473,5830,1379,695,180,174,81,85,26,13,7413,6336,5827,5441,1291,606,75,89,49,54,7,1,164,145,5980,5572,1354,674,155,152,71,77,17,8,549,289,481,235,19,11,21,9,8,6,8,4,12,24,493,258,25,21,25,22,10,8,9,5,0,0,,2,246,21,26,9,89,3,5966,37,25
Charlotte ,184998,100632,680.28,235.2,147.9,90256,94742,22067,11433,10634,88537,43107,45430,74394,35716,38678,9602,4320,5282,74975,47734,8414,40027,5089,2625,841,5082,2484,27241,22697,15924,10355,45714,181398,74975,39901,37514,14130,14878,4275,80606,20362,44189,799,4889,10367,86203,13563,44423,2627,13370,12220,81379,85954,5908,5192,331,411,1036,1589,64,49,1538,1547,82772,87370,6703,5959,808,903,1439,2016,155,154,83461,87825,75433,79894,5444,4736,223,279,1010,1554,44,42,1307,1320,76617,81113,6094,5371,622,692,1378,1947,122,126,6795,6917,5946,6060,464,456,108,132,26,35,20,7,231,227,6155,6257,609,588,186,211,61,69,33,28,61,3,152,8,1080,207,421,205,2432,2,64078,111,7
Citrus ,147929,78026,581.7,242.8,134.1,71714,76215,22036,11203,10833,72188,34865,37323,53705,25646,28059,6272,2779,3493,62293,36112,7572,28892,4844,3329,1218,3891,1510,26181,22614,14744,8934,35944,145466,62293,28974,35135,10242,8822,3609,63382,17510,32202,634,4113,8923,66646,12802,31548,441,11579,10276,66700,70881,2380,2276,341,299,1043,1445,21,36,1229,1278,67829,72056,2935,2849,851,814,1301,1727,88,116,67242,71888,62727,67029,2164,2080,258,220,1008,1415,12,29,1073,1115,63712,68061,2633,2575,703,664,1245,1667,71,94,4472,4327,3973,3852,216,196,83,79,35,30,9,7,156,163,4117,3995,302,274,148,150,56,60,17,22,32,1,135,8,999,181,341,154,1744,2,43216,137,10
Clay ,216072,75478,604.36,315.8,124.9,106560,109512,50209,25819,24390,131759,64995,66764,34104,15746,18358,3073,1115,1958,75958,58071,25431,44705,18207,3377,1746,9989,5478,17887,15785,7567,28672,23631,214691,75958,44428,64995,18871,10439,3712,86116,24393,48005,781,3281,9656,88409,19238,49386,1219,6168,12398,86515,87648,12954,13669,613,607,3033,3817,167,177,3278,3594,89487,90922,14470,15354,1379,1453,4396,5336,376,403,95291,98446,77248,78524,11824,12644,422,436,2883,3657,115,121,2799,3064,79785,81314,13066,14044,1046,1120,4122,5034,292,307,11269,11066,9267,9124,1130,1025,191,171,150,160,52,56,479,530,9702,9608,1404,1310,333,333,274,302,84,96,2,1,35,10,1140,186,323,194,2539,1,82790,152,8
Collier ,378488,197298,1998.32,160.9,98.7,186769,191719,64794,33275,31519,191759,95722,96037,121935,57772,64163,17249,8200,9049,144172,97654,27833,80401,17270,5273,2774,11980,7789,46518,40226,24323,30927,76651,374577,144172,80181,90775,33716,25733,8519,159063,43214,91234,3097,5231,16287,166518,32725,88059,1710,19641,24383,166839,171120,14127,13925,938,872,2568,3314,192,176,2105,2312,168560,173014,15246,15156,1450,1445,3280,4118,494,511,131438,140307,114328,122363,12732,12600,367,351,2337,3150,60,63,1614,1780,115613,123780,13556,13518,740,760,2925,3824,320,347,55331,51412,52511,48757,1395,1325,571,521,231,164,132,113,491,532,52947,49234,1690,1638,710,685,355,294,174,164,68,1,65,18,2065,443,1178,399,5816,3,111034,210,7
Columbia ,70503,28636,797.57,84.7,35.9,36366,34137,15312,7782,7530,41877,22405,19472,13314,6179,7135,1486,589,897,25678,15657,5761,10747,3818,1922,758,2988,1185,10021,8605,3295,7405,8571,65747,25678,10938,17205,7805,4121,1735,29179,9899,12496,943,1686,4155,28287,6875,12344,797,3451,4820,27822,27029,7256,5757,212,196,306,438,30,30,740,687,28499,27667,7676,6121,461,428,423,559,69,70,33985,32031,25773,25180,7082,5635,160,160,298,422,21,25,651,609,26372,25745,7441,5960,383,363,404,532,53,57,2381,2106,2049,1849,174,122,52,36,8,16,9,5,89,78,2127,1922,235,161,78,65,19,27,16,13,2,1,12,18,1991,116,160,43,854,6,27171,120,18
DeSoto ,37489,14590,637.06,54.7,22.9,21230,16259,7099,3711,3388,22073,13448,8625,8317,4071,4246,1068,498,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17673,13904,2890,1841,241,171,123,101,39,25,264,217,17913,14104,3065,1979,306,231,158,128,56,39,13432,12107,10363,10071,2721,1746,54,49,101,86,4,2,189,153,10533,10214,2839,1842,108,88,129,108,15,9,7798,4152,7310,3833,169,95,187,122,22,15,35,23,75,64,7380,3890,226,137,198,143,29,20,41,30,8,0,,0,,4768,6823,4864,46472,6,14282,57,16
Dixie ,16700,9319,705.05,23.3,13.2,9244,7456,3035,1582,1453,9716,5640,4076,3949,2022,1927,371,174,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7826,6769,1185,457,51,46,29,40,1,2,152,142,7972,6906,1246,512,127,113,42,60,10,7,8819,7210,7439,6565,1159,439,45,41,27,35,1,2,148,128,7582,6688,1217,489,121,101,39,54,9,6,425,246,387,204,26,18,6,5,2,5,0,0,4,14,390,218,29,23,6,12,3,6,1,1,2,0,,1,60,48,69,21,277,4,4741,28,17
Duval ,950181,388486,762.19,1133.9,509.7,460434,489747,214676,109448,105228,602022,293668,308354,133483,57318,76165,14914,4800,10114,367238,229923,99877,146559,56703,21234,9326,62130,33848,137315,114456,37797,111376,96482,928960,367238,145876,276424,72985,66437,27179,366937,149890,164439,5856,9115,37637,400810,130179,160053,10695,34887,64996,285652,292080,135507,154998,2172,2129,22576,25544,620,538,13907,14458,297808,304637,143098,162859,5010,5234,28122,31351,1501,1486,412086,441779,246245,253213,130257,149718,1511,1479,21924,24894,425,370,11724,12105,256404,263603,136475,156099,3747,3936,26911,30094,1168,1171,48348,47968,39407,38867,5250,5280,661,650,652,650,195,168,2183,2353,41404,41034,6623,6760,1263,1298,1211,1257,333,315,7,11,414,29,3871,35,41,12,134,9,480455,885,10
Escambia ,315534,136703,656.46,453.4,208.2,156179,159355,65784,33595,32189,196602,99205,97397,53148,23379,29769,6061,2202,3859,118820,70583,22825,49197,15026,5797,1254,15589,6545,48237,36838,13893,27378,38281,297754,118820,49250,82527,24940,22217,8213,127783,49748,54106,3062,5115,15752,131993,42573,52659,2983,12699,21079,109639,107827,34645,38584,1475,1363,4783,5969,294,273,5343,5339,114332,112520,37137,41065,2987,2934,6914,8115,690,641,146186,150985,101445,101067,33846,37838,1218,1188,4618,5822,240,237,4819,4833,105677,105310,36062,40051,2540,2585,6620,7844,591,565,9993,8370,8194,6760,799,746,257,175,165,147,54,36,524,506,8655,7210,1075,1014,447,349,294,271,99,76,2,1,42,14,1703,1318,2288,1763,15031,9,158284,365,12
Flagler ,112067,48595,485.46,197.1,100.1,53927,58140,18884,9673,9211,58755,27896,30859,34428,16358,18070,3697,1589,2108,41274,29721,7013,23297,4993,2749,1026,3675,994,11553,9539,5894,9465,22142,111430,41274,23348,27676,11535,7597,1999,45750,11211,24800,730,2083,6926,50888,11753,26029,471,5608,7027,45377,48703,5792,6243,237,211,1229,1689,54,48,1238,1246,46486,49811,6477,6892,554,536,1587,2073,148,157,48223,52029,40456,43393,5367,5798,170,152,1176,1612,35,34,1019,1040,41369,44315,5904,6320,432,420,1492,1956,110,124,5704,6111,4921,5310,425,445,67,59,53,77,19,14,219,206,5117,5496,573,572,122,116,95,117,38,33,3,2,70,2,240,504,820,600,4551,1,31746,70,7
Franklin ,11736,8652,534.72,21.6,16.2,6545,5191,1888,981,907,7034,4141,2893,2814,1423,1391,215,105,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5293,4572,1035,420,72,45,27,30,6,3,112,121,5396,4688,1112,488,104,80,36,48,9,9,6073,5006,4899,4416,1014,413,30,28,20,25,0,3,110,121,5000,4532,1089,481,62,63,29,43,3,9,472,185,394,156,21,7,42,17,7,5,6,0,2,0,396,156,23,7,42,17,7,5,6,0,0,0,,1,90,110,258,110,1732,3,4723,33,29
Gadsden ,45894,19506,516.33,89.8,37.8,21790,24104,10097,5042,5055,27600,13194,14406,8197,3554,4643,891,324,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9521,9594,11738,13857,140,128,109,226,28,34,254,265,9732,9826,11883,13985,233,214,140,291,60,60,19258,21813,7313,7631,11602,13696,50,57,91,206,5,7,197,216,7476,7821,11706,13797,126,125,117,261,32,29,2532,2291,2208,1963,136,161,90,71,18,20,23,27,57,49,2256,2005,177,188,107,89,23,30,28,31,0,1,50,1,120,33,80,11,125,5,20843,116,25
Gilchrist ,18256,7307,349.68,48.4,20.9,9429,8827,3703,1890,1813,10812,5868,4944,3741,1671,2070,483,154,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8392,8258,749,274,55,70,52,54,16,6,165,165,8547,8414,825,344,127,135,73,83,24,17,8781,8361,7819,7843,722,267,31,48,46,52,5,1,158,150,7968,7986,793,328,99,108,67,79,13,11,648,466,573,415,27,7,24,22,6,2,11,5,7,15,579,428,32,16,28,27,6,4,11,6,0,0,,2,201,81,99,126,390,3,6493,32,19
Glades ,13724,6979,806.01,16,8.7,7719,6005,2080,1057,1023,7900,4766,3134,3744,1896,1848,381,207,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5883,4936,1298,600,374,338,61,36,6,8,97,87,5973,5020,1340,636,420,373,74,50,12,15,6040,4782,4395,3850,1242,546,269,279,50,31,6,8,78,68,4467,3915,1274,575,308,305,61,42,11,14,1679,1223,1488,1086,56,54,105,59,11,5,0,0,19,19,1506,1105,66,61,112,68,13,8,1,1,3,0,,0,,26,36,8,163,2,3140,13,10
Gulf ,16164,9110,564.01,28.1,16.2,9461,6703,2500,1295,1205,10177,6485,3692,3487,1681,1806,337,151,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7165,5737,2062,693,55,52,31,46,2,2,146,173,7304,5907,2129,774,117,114,44,71,13,10,8872,6545,6629,5606,2032,688,47,41,27,43,2,1,135,166,6757,5769,2091,767,107,100,39,66,13,9,589,158,536,131,30,5,8,11,4,3,0,1,11,7,547,138,38,7,10,14,5,5,0,1,0,0,,1,120,18,30,18,69,4,6830,42,26
Hamilton ,14310,5778,513.79,28.8,11.2,8283,6027,2707,1406,1301,9028,5697,3331,2575,1180,1395,290,104,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5030,3978,2942,1758,78,73,45,72,3,1,185,145,5195,4111,3049,1835,139,111,69,105,18,11,7412,5496,4313,3561,2883,1714,49,46,42,58,0,0,125,117,4424,3670,2951,1777,89,74,61,85,12,7,871,531,717,417,59,44,29,27,3,14,3,1,60,28,771,441,98,58,50,37,8,20,6,4,0,0,,1,60,29,56,8,158,4,5756,40,27
Hardee ,27245,9722,637.78,43.5,15.2,14376,12869,7141,3704,3437,15572,8480,7092,4532,2192,2340,547,238,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12673,11422,1128,907,173,147,150,158,16,14,236,221,12886,11627,1269,1017,234,207,197,208,33,33,7840,7424,6454,6283,1012,803,48,51,133,141,12,6,181,140,6617,6413,1116,871,97,89,169,173,27,18,6536,5445,6219,5139,116,104,125,96,17,17,4,8,55,81,6269,5214,153,146,137,118,28,35,6,15,2,0,,2,104,27,33,7,109,3,14114,58,21
Hendry ,41556,14564,1152.75,34,12.6,22163,19393,10964,5820,5144,24880,13465,11415,5712,2878,2834,731,324,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18810,15943,2413,2597,443,402,214,192,48,35,235,224,19029,16145,2524,2696,532,479,254,245,63,53,9368,9622,6675,6646,2131,2366,265,272,168,167,11,13,118,158,6788,6789,2182,2438,311,322,185,206,20,26,12795,9771,12135,9297,282,231,178,130,46,25,37,22,117,66,12241,9356,342,258,221,157,69,39,43,27,3,0,,2,248,40,59,29,230,1,11165,59,15
Hernando ,190865,84504,472.54,365.6,178.8,91975,98890,34957,17607,17350,103496,50040,53456,52412,24328,28084,6445,2687,3758,76163,52370,15415,39287,9432,4590,2393,8493,3590,23793,20020,11544,18464,35819,188772,76163,39264,46324,15827,11194,5295,77198,22588,40557,1625,2689,9739,85074,18370,42858,2391,9708,11747,82528,88875,5572,5839,469,459,1217,1540,75,91,2114,2086,84480,90777,6719,6976,1075,1066,1681,2034,198,206,78450,85346,70635,76780,4754,5087,274,318,1143,1464,48,70,1596,1627,72103,78261,5580,5946,733,789,1537,1889,138,154,13525,13544,11893,12095,818,752,195,141,74,76,27,21,518,459,12377,12516,1139,1030,342,277,144,145,60,52,14,2,47,5,660,88,125,47,494,3,47057,120,7
Highlands ,105424,55386,1016.61,97.2,54.5,51515,53909,17970,9076,8894,50232,24932,25300,37222,17507,19715,5501,2512,2989,40573,27635,6538,21599,3619,1511,548,4525,2371,12938,11034,8079,7782,23712,103601,40573,21782,25208,9924,6114,2369,44294,10370,24963,998,3891,4072,46310,8080,23416,662,7091,7061,44120,45955,5319,5745,331,368,733,911,54,47,958,883,44995,46746,5829,6227,657,660,908,1077,113,101,39842,43643,33419,36560,4824,5295,199,242,664,861,21,24,715,661,34067,37152,5191,5649,446,455,808,994,66,67,11673,10266,10701,9395,495,450,132,126,69,50,33,23,243,222,10928,9594,638,578,211,205,100,83,47,34,64,1,60,5,598,202,345,297,2415,1,34002,138,14
Hillsborough ,1436888,536092,1020.21,1204.9,525.5,702940,733948,323986,166454,157532,907587,445925,461662,205315,90561,114754,23732,8703,15029,540142,342998,145263,241201,93421,28764,12363,73033,39479,197144,156188,51156,165378,144245,1416060,540142,241195,408210,126843,99670,37904,563991,207477,271762,12084,13937,58731,602748,191788,267063,14569,47920,81408,527373,539956,120957,135444,3728,3815,30268,33378,875,1004,19739,20351,544995,558033,132878,147782,7819,8164,36704,40081,2005,2148,494205,522569,341292,351929,107277,121290,1552,1698,29294,32393,455,539,14335,14720,353849,364728,115562,129820,4246,4580,34603,37925,1325,1421,208735,211379,186081,188027,13680,14154,2176,2117,974,985,420,465,5404,5631,191146,193305,17316,17962,3573,3584,2101,2156,680,727,252,17,1065,32,4094,138,234,181,1192,9,488899,1005,8
Holmes ,19477,8641,478.78,41.6,18,10336,9141,3938,2048,1890,11668,6529,5139,3871,1759,2112,419,170,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8882,8451,1057,257,102,101,55,75,16,19,224,238,9095,8677,1129,345,229,223,77,104,31,32,9990,8909,8581,8258,1042,255,87,88,51,67,13,18,216,223,8787,8469,1111,339,211,203,71,93,27,30,346,232,301,193,15,2,15,13,4,8,3,1,8,15,308,208,18,6,18,20,6,11,4,2,0,0,,1,180,1758,2802,3141,21504,3,9877,69,35
Indian River ,157413,76346,502.87,274.5,151.8,75421,81992,25219,12932,12287,80175,38662,41513,52019,23827,28192,7562,3283,4279,57636,34563,6839,29866,4884,662,202,4035,1753,23073,19735,10861,8121,31331,155771,57636,29900,41294,16462,10479,2781,64198,20682,32731,840,3739,6206,71465,19008,32069,1443,10359,8586,65444,71368,7214,7712,335,353,1233,1251,42,37,1153,1271,66495,72507,7798,8373,678,728,1509,1573,121,120,65425,72025,56255,62106,6830,7385,150,207,1182,1201,30,30,978,1096,57144,63082,7311,7940,443,536,1432,1495,94,103,9996,9967,9189,9262,384,327,185,146,51,50,12,7,175,175,9351,9425,487,433,235,192,77,78,27,17,31,2,114,6,674,34,42,13,151,1,65226,123,9
Jackson ,48305,21003,917.76,54.2,22.9,26615,21690,8961,4703,4258,29920,17686,12234,9424,4226,5198,1134,411,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17851,15574,7720,5252,237,186,185,180,109,33,513,465,18312,15990,8027,5528,393,332,258,244,144,68,24931,20953,16442,14998,7595,5185,187,160,161,172,70,11,476,427,16867,15378,7877,5436,335,298,229,230,104,45,1684,737,1409,576,125,67,50,26,24,8,39,22,37,38,1445,612,150,92,58,34,29,14,40,23,0,0,,4,540,206,428,229,2279,10,23692,145,29
