Area me,POP ESTIMATE 2018,Housing units,Area in sq mi Land,Density per square mile of land area - Population,Density per square mile of land area - Housing units,Total Male,Total Female,Total age 0 to 17,Male age 0 to 17,Female age 0 to 17,Total age 18 to 64,Male age 18 to 64,Female age 18 to 64,Total age 65plus,Male age 5plus,Female age 65plus,Total age 85plus,Male age 85plus,Female age 85plus,Total Households,Total Households Family,Total Households Family w biological minors,Total Households Family Married couple,Total Households Family Married Couple Biological minor,Total Households Family Male Householder no wife present,Household BY TYPE,Total Households Family Female Householder no husband present,Total Households Family Female Householder no husband biological minor,Total Household NonFam Household,Total Household NonFam Household Householder alone,Total Household NonFam Household Householder alone 65plus,Total Household Household w multiple minors,Total Household Household w multi 65plus,Total Pop in Household,Pop in Household Number of Householders living in household,Pop in Household Number of Spouses,Pop in Household Number of Children,Pop in Household Number of Other relatives,Pop in Household Number of Nonrelatives,Pop in Household Number of Nonrelatives or Unmarried partner,Males 15plus,Males 15plus never married,Males 15plus Now married except separated,Males 15plus Separated,Males 15plus Widowed,Males 15plus Divorced,Females 15plus,Females 15plus Never married,Females 15plus Now married except separated,Females 15plus Separated,Females 15plus Widowed,Females 15plus Divorced,WA MALE,WA FEMALE,BA MALE,BA FEMALE,IA MALE,IA FEMALE,AA MALE,AA FEMALE,NA MALE,NA FEMALE,TOM MALE,TOM FEMALE,WAC MALE,WAC FEMALE,BAC MALE,BAC FEMALE,IAC MALE,IAC FEMALE,AAC MALE,AAC FEMALE,C MALE,C FEMALE,NH MALE,NH FEMALE,NHWA MALE,NHWA FEMALE,NHBA MALE,NHBA FEMALE,NHIA MALE,NHIA FEMALE,NHAA MALE,NHAA FEMALE,NH MALE,NH FEMALE,NHTOM MALE,NHTOM FEMALE,NHWAC MALE,NHWAC FEMALE,NHBAC MALE,NHBAC FEMALE,NHIAC MALE,NHIAC FEMALE,NHAAC MALE,NHAAC FEMALE,NHC MALE,NHC FEMALE,H MALE,H FEMALE,HWA MALE,HWA FEMALE,HBA MALE,HBA FEMALE,HIA MALE,HIA FEMALE,HAA MALE,HAA FEMALE,H MALE,H FEMALE,HTOM MALE,HTOM FEMALE,HWAC MALE,HWAC FEMALE,HBAC MALE,HBAC FEMALE,HIAC MALE,HIAC FEMALE,HAAC MALE,HAAC FEMALE,HC MALE,HC FEMALE,Age restricted housing,Liscensed Adult Daycare Facilities,Liscensed Adult Daycare Beds,Total Lisenced Nursing Home Facilities,Total Nursing Home Beds,Tobacco Permits,Alcohol Liscenses,Liscensed Barbers,Lisensed Cosmetologists,Total Prisons,Religious adherents 2010,Congregations 2010,Congregations Per 10K People
District 10,840678,346322,3452,244,100,412820,427858,181598,92994,88604,474184,234304,239880,184896,85522,99374,22106,9493,12613,281744,194073,67128,139126,40923,15909,8022,39038,18183,87671,70217,39410,78451,118533,799378,281744,139219,231661,87430,59324,21381,324952,111659,158124,6239,14205,34725,344118,98217,149744,9178,40810,46169,331096,341810,61943,65310,2988,2756,7092,8597,474,437,9227,8948,339506,349889,67730,70897,5454,5198,9079,10580,983,950,309857,329672,239058,253941,56137,59392,1203,1271,6676,8224,209,219,6574,6625,244937,259811,60144,63412,2856,2996,8276,9857,612,643,102963,98186,92038,87869,5806,5918,1785,1485,416,373,265,218,2653,2323,94569,90078,7586,7485,2598,2202,803,723,371,307,245,4,255,31,3748,1021,1626,1480,10167,14,292836,872,46
District 11,2761581,989435,1898,1316,521,1340718,1420863,558250,283994,274256,1755219,870416,884803,448112,186308,261804,64317,22311,42006,895801,622526,243834,394815,154216,60883,19513,166828,70105,273275,219017,84484,286598,294464,2716712,895801,394147,867387,390839,168538,56817,1103342,437669,499803,24341,26631,114898,1193197,396522,460943,46896,108875,179961,1059558,1117543,238595,257042,4002,3705,21505,24263,642,646,16416,17664,1072424,1131251,249511,268921,6835,6811,27222,30458,2453,2612,421228,433223,184947,174845,205629,224616,1104,1179,19918,22563,311,266,9319,9754,191570,181604,211500,230836,2559,2743,23840,26733,1623,1686,919490,987640,874611,942698,32966,32426,2898,2526,1587,1700,331,380,7097,7910,880854,949647,38011,38085,4276,4068,3382,3725,830,926,68,167,9299,53,8225,235,522,148,2326,0,992522,1437,6
District 12,859062,415693,1936,444,215,415219,443843,139836,71411,68425,446227,217895,228332,272999,125913,147086,39892,17105,22787,334535,211580,53324,170617,34415,11427,5626,29536,13283,122955,101113,62780,60229,172949,811908,334535,169947,187835,62552,57039,23628,337849,91828,185951,4951,13699,41420,374694,72985,184516,6033,47582,63578,368466,393873,29842,31375,1936,1836,7577,9205,367,330,7031,7224,374953,400471,33661,35267,3761,3809,9518,11157,731,722,354292,386896,312864,341812,27442,29117,806,862,7159,8893,190,171,5831,6041,318225,347315,30514,32263,2299,2514,8890,10656,500,494,60927,56947,55602,52061,2400,2258,1130,974,418,312,177,159,1200,1183,56728,53156,3147,3004,1462,1295,628,501,231,228,314,3,212,40,4497,5286,8146,5462,53242,12,205910,435,31
District 13,1436888,536092,1020,1205,526,702940,733948,323986,166454,157532,907587,445925,461662,205315,90561,114754,23732,8703,15029,540142,342998,145263,241201,93421,28764,12363,73033,39479,197144,156188,51156,165378,144245,1416060,540142,241195,408210,126843,99670,37904,563991,207477,271762,12084,13937,58731,602748,191788,267063,14569,47920,81408,527373,539956,120957,135444,3728,3815,30268,33378,875,1004,19739,20351,544995,558033,132878,147782,7819,8164,36704,40081,2005,2148,494205,522569,341292,351929,107277,121290,1552,1698,29294,32393,455,539,14335,14720,353849,364728,115562,129820,4246,4580,34603,37925,1325,1421,208735,211379,186081,188027,13680,14154,2176,2117,974,985,420,465,5404,5631,191146,193305,17316,17962,3573,3584,2101,2156,680,727,252,17,1065,32,4094,138,234,181,1192,9,488899,1005,8
District 14,308700,155199,3869,80,40,159653,149047,63039,32164,30875,190207,102070,88137,55454,25419,30035,6372,2581,3791,73856,49233,19206,35562,12564,3914,1220,9757,5422,24623,20726,8137,20917,22341,183074,73856,35634,51444,13408,8732,3437,74951,23736,37497,1518,2709,9491,76870,17168,36986,1690,9664,11362,126082,120960,25280,19026,1450,1351,2136,2924,307,277,4398,4509,130052,125053,27343,21124,2876,2810,3456,4290,568,553,149555,141214,117588,114557,24590,18491,1142,1100,2041,2833,209,202,3985,4031,121183,118215,26418,20345,2427,2380,3272,4102,447,448,10098,7833,8494,6403,690,535,308,251,95,91,98,75,413,478,8869,6838,925,779,449,430,184,188,121,105,1,0,0,18,2295,2350,3946,3601,26772,27,125771,558,151
District 15,1485941,664594,1970,670,337,720762,765179,283456,144656,138800,847219,418617,428602,355266,157489,197777,63211,26555,36656,552286,337212,113133,251759,75414,24236,10030,61217,27689,215074,178061,100477,127106,236637,1464853,552286,252008,420578,135380,104601,35129,600838,219805,286087,9833,21510,63603,651665,191710,282319,13005,75454,89177,541173,570919,140045,152717,4986,3729,20352,23199,857,766,13349,13849,552162,582183,148170,161202,7719,6656,25021,28085,2126,2078,550036,595335,387015,416621,131987,144322,1209,1201,19591,22469,338,339,9896,10383,394842,424706,137834,150486,3051,3222,23444,26533,1415,1474,170726,169844,154158,154298,8058,8395,3777,2528,761,730,519,427,3453,3466,157320,157477,10336,10716,4668,3434,1577,1552,711,604,892,30,1919,45,5313,1628,3335,1974,25414,9,483715,775,6
District 16,75027,52764,983,74,54,39005,36022,11361,5769,5592,46400,24238,22162,17266,8998,8268,1723,797,926,31362,18944,6277,14074,3134,2085,1538,2785,1605,12418,8749,3543,6671,11278,73083,31362,14259,14982,4605,7875,3656,33852,10512,15936,474,1263,5667,31724,7237,16424,424,2982,4657,34756,32231,2807,2342,198,190,478,592,49,28,717,639,35424,32805,3088,2619,467,426,660,752,87,69,29352,26957,25669,23666,2499,2102,130,130,453,565,39,19,562,475,26190,24092,2706,2287,343,307,613,699,65,50,9653,9065,9087,8565,308,240,68,60,25,27,10,9,155,164,9234,8713,382,332,124,119,47,53,22,19,6,2,220,2,240,386,795,94,1312,4,24391,81,11
District 17,1951260,810388,1210,1445,670,950568,1000692,412789,209292,203497,1214158,598453,615705,324313,142823,181490,46114,16928,29186,694980,439980,169424,299258,107904,38400,14425,102322,47095,255000,209779,81792,191695,220200,1933847,694980,299026,604660,214718,120463,45128,777360,302419,352934,15797,20404,85806,831898,266862,339239,23433,70847,131517,612588,621007,275540,311642,4085,3825,35758,40093,1175,1213,21422,22912,628985,638284,290323,327587,7708,7776,43976,49020,3376,3578,661966,695561,350588,344119,259255,293834,1854,1928,34415,38493,581,662,15273,16525,361525,355741,269488,305020,4161,4542,41000,45750,2415,2666,288602,305131,262000,276888,16285,17808,2231,1897,1343,1600,594,551,6149,6387,267460,282543,20835,22567,3547,3234,2976,3270,961,912,849,26,1538,47,5831,2463,4511,3386,35361,10,641572,1040,6
District 18,596849,269864,1016,535,266,291903,304946,108913,55942,52971,346591,171221,175370,141345,64740,76605,18607,7464,11143,226363,140955,40162,108673,27327,9197,3358,23085,9477,85408,72592,35729,46196,94801,589830,226363,109144,168917,48328,37078,12280,244712,83878,116686,5223,9456,29469,262303,67148,119316,4142,30753,40944,244335,252508,30591,33425,1371,1387,6988,8771,405,393,8213,8462,251812,260168,34890,37862,3309,3438,10007,11878,884,903,260578,272310,217551,224536,28363,31095,943,939,6722,8490,211,222,6788,7028,223691,230868,31790,34671,2463,2575,9402,11260,609,637,31325,32636,26784,27972,2228,2330,428,448,266,281,194,171,1425,1434,28121,29300,3100,3191,846,863,605,618,275,266,67,8,491,17,2317,771,1502,791,8383,5,189430,414,8
District 19,680990,310015,2387,285,130,334203,346787,123745,63965,59780,369815,183395,186420,187430,86843,100587,26367,11418,14949,239474,154449,46717,120461,31464,7577,2841,26411,12412,85025,69907,39628,55523,115495,631208,239474,120324,176842,52184,42384,13632,262657,83184,134992,3593,11271,29617,281634,67581,130452,6466,37998,39137,272500,283225,47356,47988,2491,2152,5134,6512,403,366,6319,6544,278012,288859,51102,51880,4128,3952,6788,8234,860,838,274480,290764,219056,233000,44505,45297,865,859,4825,6247,189,197,5040,5164,223375,237355,47432,48267,2126,2264,6255,7741,571,594,59723,56023,53444,50225,2851,2691,1626,1293,309,265,214,169,1279,1380,54637,51504,3670,3613,2002,1688,533,493,289,244,142,6,358,20,2410,931,1489,1269,9360,16,305885,585,38
