Area Name,2018 Flu Pneum Count,2018 Flu Pneum Rate,2018 Flu Pneum MOV,2017 Flu Pneum Count,2017 Flu Pneum Rate,2017 Flu Pneum MOV,2016 Flu Pneum Count,2016 Flu Pneum Rate,2016 Flu Pneum MOV,2015 Flu Pneum Count,2015 Flu Pneum Rate,2015 Flu Pneum MOV,2014 Flu Pneum Count,2014 Flu Pneum Rate,2014 Flu Pneum MOV,2013 Flu Pneum Count,2013 Flu Pneum Rate,2013 Flu Pneum MOV,2012 Flu Pneum Count,2012 Flu Pneum Rate,2012 Flu Pneum MOV,2011 Flu Pneum Count,2011 Flu Pneum Rate,2011 Flu Pneum MOV,2010 Flu Pneum Count,2010 Flu Pneum Rate,2010 Flu Pneum MOV,2009 Flu Pneum Count,2009 Flu Pneum Rate,2009 Flu Pneum MOV,Total Recorded Deaths 2018,Total Recorded Deaths 2017,Total Recorded Deaths 2016,Total Recorded Deaths 2015,Total Recorded Deaths 2014,Total Recorded Deaths 2013,Total Recorded Deaths 2012,Total Recorded Deaths 2011,Total Recorded Deaths 2010,Total Recorded Deaths 2009,"2018 AADR per 100,000","2017 AADR per 100,000","2016 AADR per 100,000","2015 AADR per 100,000","2014 AADR per 100,000","2013 AADR per 100,000","2012 AADR per 100,000","2011 AADR per 100,000","2010 AADR per 100,000","2009 AADR per 100,000",Deaths cardiorespiratory ages 0 to 24 2008-2018,Deaths cardiorespiratory ages 25 to 64 2008-2018,Deaths cardiorespiratory 65plus 2008-2018,Cardiovascular deaths 2018,Cardiovascular deaths 2017,Cardiovascular deaths 2016,Cardiovascular deaths 2015,Cardiovascular deaths 2014,Cardiovascular deaths 2013,Cardiovascular deaths 2012,Cardiovascular deaths 2011,Cardiovascular deaths 2010,Cardiovascular deaths 2009
Lee ,57,16.7,4.3,47,14.1,4,40,12.3,3.8,36,11.3,3.7,48,15.4,4.4,51,16.7,4.6,43,14.3,4.3,52,17.4,4.7,36,12.1,4,39,13.2,4.1,3944,3891,3627,3508,3297,3143,2841,2915,3028,2966,728,763,723,720,699,691,666,683,700,673,18,1947,12612,1311,1288,1271,1195,1166,1036,992,1036,1067,1052
Leon ,103,14.3,2.8,83,11.8,2.5,65,9.5,2.3,62,9.3,2.3,55,8.4,2.2,51,7.9,2.2,55,8.6,2.3,66,10.5,2.5,71,11.5,2.7,71,11.6,2.7,7346,7401,6950,6880,6481,6328,5943,5974,5950,5666,587,623,594,600,592,584,576,612,611,559,58,3547,22234,2221,2293,2137,2347,2035,2051,1844,1815,1836,1835
Levy ,24,8.3,3.3,25,8.6,3.4,24,8.3,3.3,40,14,4.3,29,10.3,3.7,38,13.6,4.3,21,7.6,3.2,33,11.9,4.1,31,11.2,4,40,14.6,4.5,2662,2709,2456,2448,2377,2382,2351,2201,2161,2123,713,725,678,681,706,747,775,721,737,702,36,1325,5102,570,576,485,504,476,516,529,479,460,468
Liberty ,5,12,10.5,4,9.8,,7,17.2,12.8,4,9.9,,3,7.4,,6,14.9,11.9,7,17.4,12.9,5,12.3,10.8,5,12.3,10.7,2,4.9,,241,434,445,473,416,393,416,403,386,364,863,911,907,921,909,862,906,954,955,830,3,389,1610,174,153,168,147,136,145,135,134,156,139
Madison ,1,11.4,,2,22.6,,1,11.4,,0,0,,0,0,,0,0,,1,11.7,,1,11.9,,2,24,,3,36,,40,31,24,23,43,20,20,24,31,33,960,874,742,719,964,663,836,1015,1047,927,1,72,206,28,21,22,14,29,9,17,26,16,17
Manatee ,5,25.8,22.6,4,20.7,,7,36.4,26.9,6,31.3,25,0,0,,9,46.4,30.3,4,20.8,,6,31.1,24.9,6,31.2,25,4,20.7,,171,131,148,152,165,154,150,144,129,144,939,765,884,936,1004,924,908,918,854,872,2,208,761,90,61,71,82,87,65,82,78,73,76
Marion ,54,14.2,3.8,58,15.8,4.1,39,10.9,3.4,37,10.5,3.4,38,11.1,3.5,36,10.8,3.5,17,5.1,2.4,25,7.7,3,23,7.1,2.9,29,9,3.3,3994,3894,3988,3814,3712,3512,3372,3381,3264,3124,621,638,667,647,636,615,615,646,636,600,38,2114,12782,1324,1217,1265,1206,1134,1186,1147,1191,1177,1186
Martin ,70,19.7,4.6,44,12.5,3.7,47,13.6,3.9,41,12,3.7,39,11.5,3.6,41,12.2,3.7,40,12,3.7,46,13.9,4,41,12.4,3.8,47,14.2,4.1,5069,4882,4837,4543,4402,4420,4138,4134,3944,3758,860,834,853,801,779,808,771,794,772,721,46,2793,16490,1734,1682,1687,1639,1528,1505,1375,1371,1319,1315
Miami-Dade ,35,22.5,7.4,19,12.5,5.6,28,18.5,6.9,22,14.6,6.1,20,13.4,5.9,18,12.2,5.6,12,8.1,4.6,15,10.2,5.2,14,9.6,5,18,12.3,5.7,1863,1972,1991,1898,1869,1810,1687,1681,1670,1633,590,603,628,567,589,617,563,572,572,564,13,720,6624,608,679,631,589,577,530,473,457,449,498
Monroe ,10,13.1,8.1,20,25.9,11.3,17,22.2,10.6,12,16.1,9.1,6,8.1,6.5,7,9.5,7,6,8.2,6.6,4,5.5,,5,6.9,6,8,10.9,7.5,495,549,562,603,549,540,531,526,531,544,626,669,692,739,659,657,640,680,734,629,5,559,1836,212,224,223,246,206,175,159,154,170,168
